Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Criminal Act - London Transport Bombings,Offshore,Outside Territorial Waters,Criminal Act,7/7/2005,7/7/2005,56,700
Criminal Act - Kuta Bali Bombing,Offshore,Outside Territorial Waters,Criminal Act,12/10/2002,12/10/2002,202,209
Criminal Act - 9/11 Terrorist Attacks,Offshore,Outside Territorial Waters,Criminal Act,11/9/2001,11/9/2001,"2,819",N/A
Criminal Act - Snowtown Murders,South Australia,Adelaide,Criminal Act,1/5/1999,1/5/1999,12,N/A
Criminal Act - Port Arthur Shooting Massacre,Tasmania,Hobart,Criminal Act,28/4/1996,28/4/1996,35,21
Criminal Act - Liverpool Arson,New South Wales,Sydney,Criminal Act,15/1/1995,15/1/1995,8,N/A
"Criminal - Terrigal Shootings, Sydney 1992 ",New South Wales,Central Coast,Criminal Act,27/10/1992,,6,1
Criminal Act - Kings Cross Hostel,New South Wales,Sydney,Criminal Act,17/9/1989,17/9/1989,6,18
Criminal Act - Oenpelli Shooting Massacre,Northern Territory,Alligator River,Criminal Act,25/9/1988,25/9/1988,6,N/A
Criminal Act - Queen Street Shooting,Victoria,Melbourne,Criminal Act,8/12/1987,8/12/1987,9,5
Criminal Act - Hoddle Street Shooting,Victoria,Melbourne,Criminal Act,9/8/1987,9/8/1987,7,19
Criminal Act - The Kimberley Murders,"Western Australia , Northern Territory","Fitzroy Crossing , Katherine",Criminal Act,9/6/1987,19/6/1987,6,N/A
Criminal Act - Sydney Nursing Home,New South Wales,Sydney,Criminal Act,29/4/1981,29/4/1981,16,51
Criminal Act - Hilton Hotel Bombing,New South Wales,Sydney,Criminal Act,13/2/1978,13/2/1978,3,N/A
Criminal Act - Savoy Hotel Arson,New South Wales,Sydney,Criminal Act,25/12/1975,25/12/1975,15,22
Criminal Act - Whiskey Au Go-Go Nightclub Bombing,Queensland,Brisbane,Criminal Act,8/3/1973,8/3/1973,15,N/A
Criminal Act - Myall Creek Massacre,New South Wales,Myall Creek,Criminal Act,10/06/1838,10/06/1838,28,N/A
Cyclone Sigma ,Queensland,"Brisbane , Townsville",Cyclone,24/01/1896,28/01/1896,18,N/A
Cyclone - Darwin,Northern Territory,Darwin,Cyclone,06/01/1897,07/01/1897,28,N/A
Cyclone - Gulf of Carpentaria,Queensland,Mornington Island,Cyclone,05/03/1887,05/03/1887,7,N/A
Cyclone Mahina,Queensland,Cooktown,Cyclone,04/03/1899,10/03/1899,400,N/A
Cyclone Veronica,Western Australia,Port Hedland,Cyclone,20/3/2019,,N/A,N/A
Cyclone Marcus,Northern Territory,Darwin,Cyclone,15/3/2018,,N/A,N/A
Cyclone Debbie,Queensland,Airlie Beach,Cyclone,28/3/2017,31/3/2017,10,N/A
Cyclone Marcia,Queensland,Shoalwater Bay,Cyclone,15/2/2015,26/2/2015,N/A,N/A
Cyclone Oswald,Queensland,Cape York Peninsula,Cyclone,21/1/2013,,6,N/A
Cyclone Yasi,Queensland,"Ayr , Cairns , Townsville",Cyclone,2/2/2011,3/2/2011,1,N/A
Cyclone George,Western Australia,Port Hedland,Cyclone,3/3/2007,8/3/2007,3,20
Cyclone Larry,Queensland,Cairns,Cyclone,20/3/2006,20/3/2006,N/A,30
Cyclone Tessi,Queensland,Townsville,Cyclone,2/4/2000,4/4/2000,N/A,N/A
Cyclone Steve,Queensland,Cairns,Cyclone,27/2/2000,9/3/2000,1,N/A
Cyclone Vance,Western Australia,"Dampier , Exmouth Gulf , Port Hedland",Cyclone,18/3/1999,24/3/1999,N/A,N/A
Cyclone Justin,Queensland,"Cairns , Townsville",Cyclone,6/3/1997,24/3/1997,2,20
Cyclone Bobby,Western Australia,Dampier,Cyclone,24/2/1995,27/2/1995,8,N/A
Cyclone Rewa,Queensland,Brisbane,Cyclone,31/12/1993,25/1/1994,4,N/A
Cyclone Nancy,Queensland,"Brisbane , Lismore (QLD)",Cyclone,3/2/1990,7/2/1990,6,N/A
Cyclone Aivu,"Queensland , New South Wales","Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",Cyclone,4/4/1989,20/4/1989,3,N/A
Cyclone Herbie,Western Australia,Dampier,Cyclone,21/5/1988,22/5/1988,N/A,N/A
Cyclone Winifred,Queensland,Cairns,Cyclone,27/1/1986,5/2/1986,3,N/A
Cyclone Hazel,Western Australia,Carnarvon,Cyclone,1/3/1979,1/3/1979,15,5
Cyclone Alby,Western Australia,Perth,Cyclone,27/3/1978,4/4/1978,5,N/A
Cyclone Joan,Western Australia,Port Hedland,Cyclone,8/12/1975,9/12/1975,N/A,N/A
Cyclone Tracy,Northern Territory,Darwin,Cyclone,25/12/1974,25/12/1974,71,650
Cyclone Emily,Queensland,"Bundaberg , Rockhampton",Cyclone,27/3/1972,2/4/1972,8,N/A
Cyclone Althea,Queensland,Townsville,Cyclone,24/12/1971,27/12/1971,3,25
Cyclone Ada,Queensland,Mackay,Cyclone,17/1/1970,19/1/1970,14,N/A
Cyclone Audrey,Northern Territory,Coburg Peninsula,Cyclone,28/2/1969,9/3/1969,4,N/A
Cyclone Glenda,Queensland,Brisbane,Cyclone,2/4/1967,4/4/1967,6,N/A
Cyclone Agnes,Queensland,Cairns,Cyclone,6/3/1956,7/3/1956,4,N/A
